"","Year","RegioS","RegioS_label","GemiddeldeWOZ","InkomenWerknemer","AffordabilityRatio"
"1",2023,"PV20  ","Groningen (PV)",268,37.5,7.14666666666667
"2",2023,"PV21  ","Fryslân (PV)",277,37.9,7.30870712401055
"3",2023,"PV22  ","Drenthe (PV)",294,39.7,7.40554156171285
"4",2023,"PV23  ","Overijssel (PV)",325,39.5,8.22784810126582
"5",2023,"PV24  ","Flevoland (PV)",347,40.4,8.58910891089109
"6",2023,"PV25  ","Gelderland (PV)",364,40.6,8.96551724137931
"7",2023,"PV26  ","Utrecht (PV)",447,44.4,10.0675675675676
"8",2023,"PV27  ","Noord-Holland (PV)",460,44.7,10.2908277404922
"9",2023,"PV28  ","Zuid-Holland (PV)",359,42.4,8.46698113207547
"10",2023,"PV29  ","Zeeland (PV)",281,40.3,6.9727047146402
"11",2023,"PV30  ","Noord-Brabant (PV)",370,41.8,8.85167464114833
"12",2023,"PV31  ","Limburg (PV)",288,39.9,7.21804511278196
